algorithm,n,trial,timeMillis,comparisons,maxDepth
MergeSort,2000,0,1.0,22576,8
QuickSort,2000,0,2.0,23697,7
DeterministicSelect,2000,0,2.0,6160,5
ClosestPair,2000,0,13.0,2231,11
MergeSort,2000,1,0.0,22701,8
QuickSort,2000,1,0.0,23330,7
DeterministicSelect,2000,1,1.0,6138,5
ClosestPair,2000,1,7.0,2230,11
MergeSort,2000,2,0.0,22580,8
QuickSort,2000,2,0.0,24347,7
DeterministicSelect,2000,2,0.0,6216,5
ClosestPair,2000,2,8.0,2187,11
MergeSort,2000,3,0.0,22685,8
QuickSort,2000,3,0.0,24929,7
DeterministicSelect,2000,3,0.0,6260,5
ClosestPair,2000,3,19.0,2348,11
MergeSort,2000,4,1.0,22561,8
QuickSort,2000,4,0.0,26691,6
DeterministicSelect,2000,4,0.0,5930,5
ClosestPair,2000,4,13.0,2044,11
MergeSort,4000,0,1.0,49626,9
QuickSort,4000,0,0.0,54019,8
DeterministicSelect,4000,0,1.0,12506,6
ClosestPair,4000,0,8.0,4017,12
MergeSort,4000,1,0.0,49230,9
QuickSort,4000,1,1.0,51505,9
DeterministicSelect,4000,1,0.0,12739,6
ClosestPair,4000,1,8.0,3784,12
MergeSort,4000,2,0.0,49268,9
QuickSort,4000,2,0.0,60416,7
DeterministicSelect,4000,2,0.0,12355,6
ClosestPair,4000,2,8.0,4280,12
MergeSort,4000,3,0.0,49360,9
QuickSort,4000,3,0.0,56330,8
DeterministicSelect,4000,3,1.0,12528,6
ClosestPair,4000,3,8.0,3822,12
MergeSort,4000,4,0.0,49299,9
QuickSort,4000,4,0.0,52076,7
DeterministicSelect,4000,4,1.0,12778,6
ClosestPair,4000,4,8.0,4215,12
MergeSort,6000,0,0.0,85878,9
QuickSort,6000,0,1.0,89205,8
DeterministicSelect,6000,0,0.0,18976,6
ClosestPair,6000,0,17.0,6275,13
MergeSort,6000,1,1.0,85760,9
QuickSort,6000,1,0.0,89262,8
DeterministicSelect,6000,1,1.0,19051,6
ClosestPair,6000,1,20.0,6082,13
MergeSort,6000,2,0.0,86585,9
QuickSort,6000,2,1.0,95470,7
DeterministicSelect,6000,2,0.0,18897,6
ClosestPair,6000,2,28.0,5795,13
MergeSort,6000,3,1.0,86151,9
QuickSort,6000,3,0.0,91244,8
DeterministicSelect,6000,3,1.0,19305,6
ClosestPair,6000,3,25.0,5776,13
MergeSort,6000,4,1.0,86242,9
QuickSort,6000,4,0.0,87506,8
DeterministicSelect,6000,4,1.0,9701,6
ClosestPair,6000,4,27.0,6289,13
MergeSort,8000,0,0.0,106595,10
QuickSort,8000,0,0.0,120716,9
DeterministicSelect,8000,0,1.0,25721,6
ClosestPair,8000,0,38.0,8008,13
MergeSort,8000,1,1.0,106717,10
QuickSort,8000,1,1.0,118502,8
DeterministicSelect,8000,1,0.0,25426,6
ClosestPair,8000,1,36.0,7751,13
MergeSort,8000,2,0.0,106650,10
QuickSort,8000,2,1.0,118108,8
DeterministicSelect,8000,2,0.0,26087,6
ClosestPair,8000,2,39.0,8493,13
MergeSort,8000,3,1.0,106575,10
QuickSort,8000,3,1.0,114231,8
DeterministicSelect,8000,3,0.0,25407,6
ClosestPair,8000,3,32.0,9388,13
MergeSort,8000,4,1.0,106471,10
QuickSort,8000,4,0.0,116286,9
DeterministicSelect,8000,4,0.0,26103,6
ClosestPair,8000,4,28.0,8321,13
MergeSort,10000,0,1.0,142920,10
QuickSort,10000,0,0.0,150722,8
DeterministicSelect,10000,0,1.0,32375,6
ClosestPair,10000,0,46.0,9616,14
MergeSort,10000,1,1.0,143617,10
QuickSort,10000,1,0.0,153574,8
DeterministicSelect,10000,1,1.0,32801,6
ClosestPair,10000,1,46.0,9017,14
MergeSort,10000,2,0.0,143671,10
QuickSort,10000,2,1.0,150628,9
DeterministicSelect,10000,2,0.0,32315,6
ClosestPair,10000,2,46.0,10147,14
MergeSort,10000,3,1.0,143936,10
QuickSort,10000,3,0.0,166759,8
DeterministicSelect,10000,3,0.0,31732,6
ClosestPair,10000,3,45.0,10885,14
MergeSort,10000,4,0.0,143603,10
QuickSort,10000,4,1.0,163494,8
DeterministicSelect,10000,4,0.0,32072,6
ClosestPair,10000,4,45.0,9396,14
MergeSort,12000,0,1.0,184166,10
QuickSort,12000,0,0.0,198227,8
DeterministicSelect,12000,0,1.0,39115,6
ClosestPair,12000,0,62.0,11821,14
MergeSort,12000,1,1.0,184447,10
QuickSort,12000,1,0.0,190663,8
DeterministicSelect,12000,1,1.0,37744,6
ClosestPair,12000,1,64.0,11699,14
MergeSort,12000,2,0.0,184324,10
QuickSort,12000,2,1.0,191517,9
DeterministicSelect,12000,2,0.0,38562,6
ClosestPair,12000,2,64.0,12659,14
MergeSort,12000,3,1.0,185333,10
QuickSort,12000,3,1.0,202954,9
DeterministicSelect,12000,3,0.0,39095,6
ClosestPair,12000,3,64.0,12508,14
MergeSort,12000,4,0.0,184366,10
QuickSort,12000,4,1.0,188257,9
DeterministicSelect,12000,4,0.0,39532,6
ClosestPair,12000,4,62.0,11640,14
MergeSort,14000,0,1.0,193573,11
QuickSort,14000,0,1.0,219924,9
DeterministicSelect,14000,0,0.0,44533,6
ClosestPair,14000,0,81.0,14251,14
MergeSort,14000,1,1.0,192974,11
QuickSort,14000,1,1.0,224993,8
DeterministicSelect,14000,1,0.0,44564,6
ClosestPair,14000,1,81.0,14003,14
MergeSort,14000,2,0.0,193135,11
QuickSort,14000,2,1.0,230926,8
DeterministicSelect,14000,2,0.0,44440,6
ClosestPair,14000,2,81.0,13726,14
MergeSort,14000,3,1.0,193031,11
QuickSort,14000,3,1.0,235594,8
DeterministicSelect,14000,3,0.0,44687,6
ClosestPair,14000,3,81.0,12674,14
MergeSort,14000,4,1.0,192761,11
QuickSort,14000,4,0.0,227343,9
DeterministicSelect,14000,4,1.0,45437,6
ClosestPair,14000,4,82.0,13205,14
MergeSort,16000,0,1.0,229284,11
QuickSort,16000,0,1.0,255690,9
DeterministicSelect,16000,0,0.0,50615,7
ClosestPair,16000,0,104.0,17461,14
MergeSort,16000,1,1.0,229103,11
QuickSort,16000,1,1.0,260560,10
DeterministicSelect,16000,1,0.0,52158,7
ClosestPair,16000,1,102.0,15590,14
MergeSort,16000,2,1.0,229089,11
QuickSort,16000,2,1.0,265359,9
DeterministicSelect,16000,2,1.0,50848,7
ClosestPair,16000,2,103.0,14216,14
MergeSort,16000,3,1.0,229473,11
QuickSort,16000,3,1.0,279494,8
DeterministicSelect,16000,3,0.0,50942,7
ClosestPair,16000,3,104.0,15073,14
MergeSort,16000,4,1.0,228744,11
QuickSort,16000,4,1.0,256342,9
DeterministicSelect,16000,4,0.0,51760,7
ClosestPair,16000,4,102.0,16678,14
MergeSort,18000,0,1.0,267402,11
QuickSort,18000,0,1.0,292135,9
DeterministicSelect,18000,0,0.0,55877,7
ClosestPair,18000,0,135.0,17755,15
MergeSort,18000,1,1.0,267330,11
QuickSort,18000,1,1.0,287352,9
DeterministicSelect,18000,1,0.0,57620,7
ClosestPair,18000,1,134.0,19712,15
MergeSort,18000,2,1.0,266962,11
QuickSort,18000,2,1.0,320878,8
DeterministicSelect,18000,2,1.0,57594,7
ClosestPair,18000,2,134.0,19954,15
MergeSort,18000,3,2.0,267026,11
QuickSort,18000,3,0.0,308537,8
DeterministicSelect,18000,3,1.0,57594,7
ClosestPair,18000,3,134.0,16945,15
MergeSort,18000,4,1.0,266965,11
QuickSort,18000,4,1.0,288179,9
DeterministicSelect,18000,4,0.0,58435,7
ClosestPair,18000,4,133.0,18454,15
MergeSort,20000,0,2.0,307211,11
QuickSort,20000,0,1.0,330148,9
DeterministicSelect,20000,0,0.0,63835,7
ClosestPair,20000,0,172.0,18810,15
MergeSort,20000,1,1.0,307210,11
QuickSort,20000,1,1.0,335234,9
DeterministicSelect,20000,1,0.0,63818,7
ClosestPair,20000,1,174.0,19640,15
MergeSort,20000,2,1.0,307896,11
QuickSort,20000,2,1.0,335706,9
DeterministicSelect,20000,2,0.0,32270,7
ClosestPair,20000,2,174.0,18062,15
MergeSort,20000,3,1.0,307070,11
QuickSort,20000,3,1.0,349630,9
DeterministicSelect,20000,3,1.0,65054,7
ClosestPair,20000,3,173.0,17846,15
MergeSort,20000,4,1.0,307056,11
QuickSort,20000,4,1.0,343394,9
DeterministicSelect,20000,4,1.0,63851,7
ClosestPair,20000,4,173.0,17651,15
